timestamp,temp,hum,rain,prev_sm
168300000,22.4,75.1,0,75.6
169200000,21.7,78.3,0,75.37
170100000,21.3,79.9,0,75.08
171000000,20.8,80.5,0,74.91
171900000,20.4,82.9,0,74.75
172800000,20.1,85,0,74.51
173700000,19.8,86.7,0,74.33
174600000,19.5,88.7,0,74.14
175500000,19.3,89.8,0,73.88
176400000,19,90.8,0,73.67
177300000,18.8,91.8,0,73.47
178200000,18.6,92.8,0,73.27
179100000,18.4,93,0,73.12
180000000,18.3,94.6,0,72.95
180900000,18.4,94.9,0,72.68
181800000,18.4,93.9,0,72.43
182700000,18.4,93.8,0,72.28
183600000,18.2,93.9,0,72.1
184500000,18.1,94.4,0,71.9
185400000,17.9,95.3,0,71.7
186300000,17.8,96.3,0,71.5
187200000,17.7,96.9,0,71.24
188100000,17.6,97.7,0,71.08
189000000,17.6,98.3,0,70.93
189900000,17.6,99,0,70.68
190800000,17.7,99.7,0,70.48
191700000,17.8,100,0,70.35
192600000,17.9,100,0,70.18
193500000,18,100,0,70.03
194400000,18,99.7,0,69.8
195300000,17.9,99,0,69.53
196200000,17.8,97.7,0,69.38
197100000,17.7,97.3,0,69.14
198000000,17.5,97.4,0,68.92
198900000,17.4,98.2,0,68.73
199800000,17.3,99,0,68.53
200700000,17.2,99.2,0,68.33
201600000,17,99.1,0,68.17
202500000,16.8,98.6,0,68.02
203400000,16.6,98.1,0,67.85
204300000,16.5,98.1,0,67.64
205200000,16.3,98.1,0,67.49
206100000,16.2,98,0,67.25
207000000,16,97.8,0,67.11
207900000,15.8,97.5,0,66.98
208800000,15.7,98.1,0,66.72
209700000,15.6,99.3,0,66.6
210600000,15.5,99.4,0,66.4
211500000,15.5,99.8,0,66.21
212400000,15.5,100,0,65.98
213300000,15.7,100,0,65.76
214200000,15.8,100,0,65.54
215100000,16,100,0,65.38
216000000,16.7,100,0,65.21
216900000,17,97.2,0,65.06
217800000,17.8,95.3,0,64.88
218700000,18.4,92.1,0,64.73
219600000,19.3,91.3,0,64.51
220500000,20.1,85.6,0,64.25
221400000,21,83.4,0,64.06
222300000,21.8,80.7,0,63.87
223200000,23,76.6,0,63.65
224100000,23.1,73.6,0,63.42
225000000,22.3,76.2,0.1,70.83
225900000,25,70.2,0.1,78.1
226800000,24.6,66.9,0.1,81.55
227700000,25,65.5,0.1,85.34
228600000,26.3,61.6,0,84.87
229500000,29.2,55.9,0,84.35
230400000,30.5,57,0,83.8
231300000,29.1,56.3,0,83.31
232200000,30.1,51.3,0.1,85.89
233100000,30.2,51.7,0.1,88.4
234000000,31.7,50.9,0.1,91.24
234900000,32.5,50.1,0.1,93.34
235800000,32.1,52.5,0.1,94.64
236700000,33.1,46.6,0.1,95.78
237600000,30.3,52.2,0.1,96.53
238500000,32.2,49.9,0.1,97.11
239400000,34,47.3,0,96.41
240300000,32.9,46.6,0,95.72
241200000,34.3,47.1,0,95.01
242100000,34.2,43.6,0,94.3
243000000,32.7,46.8,0.1,95.33
243900000,28.9,51.8,0.1,96.41
244800000,27.8,58.8,0,95.89
245700000,27.8,60.3,0,95.4
246600000,26.5,59.5,0,94.95
247500000,26.2,62.3,0,94.51
248400000,26,60.8,0,94.09
249300000,25.5,59.9,0,93.71
250200000,25.1,60.4,0,93.36
251100000,24.7,63.4,0,92.92
252000000,24.3,63.5,0,92.55
252900000,23.9,66.4,0,92.2
253800000,23.6,68.9,0,91.84
254700000,23.1,68.5,0,91.52
255600000,22.7,71.1,0,91.3
256500000,22.2,73,0,91.03
257400000,21.8,74.6,0,90.72
258300000,21.5,76.6,0,90.48
259200000,21.2,77.3,0,90.18
260100000,20.9,78.7,0,89.92
261000000,20.7,80.9,0,89.66
261900000,20.5,82.9,0,89.48
262800000,20.2,84.2,0,89.25
263700000,20.1,84.6,0,89.1
264600000,19.9,86.3,0,88.92
265500000,19.7,87.6,0,88.75
266400000,19.5,89,0,88.55
267300000,19.3,90.2,0,88.3
268200000,19.2,90.8,0,88.1
269100000,19.1,91.6,0,87.89
270000000,19,92.5,0,87.64
270900000,19.1,93.2,0,87.44
271800000,19.2,92.8,0,87.26
272700000,19.3,92.1,0,87.07
273600000,19.3,91.7,0,86.82
274500000,19.1,92,0,86.64
275400000,18.8,93,0,86.46
276300000,18.6,93.9,0,86.26
277200000,18.3,94.6,0,86.13
278100000,18.1,95.2,0,85.91
279000000,18,96,0,85.75
279900000,17.9,97,0,85.54
280800000,17.7,97,0,85.3
281700000,17.7,97.6,0,85.12
282600000,17.7,97.6,0,84.93
283500000,17.6,97.6,0,84.77
284400000,17.5,98,0,84.59
285300000,17.4,98.4,0,84.35
286200000,17.4,98.7,0,84.11
287100000,17.3,98.8,0,83.9
288000000,17.2,98.7,0,83.72
288900000,17.4,99.5,0,83.52
289800000,17.5,99.4,0,83.35
290700000,17.7,98.9,0,83.17
291600000,17.8,98.7,0,82.98
292500000,17.9,98.2,0,82.85
293400000,17.9,97.5,0,82.61
294300000,17.9,97.5,0,82.4
295200000,17.8,97.6,0,82.23
296100000,17.6,97.4,0,82.02
297000000,17.5,98.5,0,81.83
297900000,17.5,99.4,0,81.64
298800000,17.5,100,0,81.42
299700000,17.6,100,0,81.24
300600000,17.5,99.9,0,81.07
301500000,17.5,99.5,0,80.88
302400000,17.6,99.1,0,80.68
303300000,18.1,99,0,80.51
304200000,18.5,97.3,0,80.29
305100000,19,93.7,0,80.1
306000000,19,93.8,0,79.94
306900000,19.4,92.6,0,79.75
307800000,20.4,87.9,0,79.61
308700000,20.4,85.9,0,79.4
309600000,20.7,84.6,0,79.15
310500000,21.6,81.7,0,78.93
311400000,21.5,81.2,0,78.69
312300000,21.6,82.2,0,78.41
313200000,23.6,73.8,0,78.1
314100000,24.7,74.6,0,77.72
315000000,27.1,66.2,0,77.33
315900000,29.7,57,0,76.76
316800000,30.8,53.5,0,76.19
